iter	Passed	Remaining
1187	121565	388948
1188	121653	388801
1189	121762	388718
1190	121874	388646
1191	121978	388550
1192	122086	388464
1193	122189	388365
1194	122310	388323
1195	122422	388252
1196	122527	388157
1197	122624	388037
1198	122717	387907
1199	122850	387901
1200	122967	387843
1201	123052	387687
1202	123160	387603
1203	123264	387505
1204	123387	387466
1205	123491	387369
1206	123627	387374
1207	123740	387304
1208	123825	387146
1209	123929	387047
1210	124034	386955
1211	124153	386903
1212	124242	386758
1213	124358	386698
1214	124459	386592
1215	124570	386516
1216	124667	386398
1217	124760	386265
1218	124850	386125
1219	124946	386004
1220	125038	385868
1221	125130	385733
1222	125234	385636
1223	125361	385610
1224	125483	385567
1225	125585	385463
1226	125694	385379
1227	125819	385347
1228	125925	385255
1229	126052	385229
1230	126141	385084
1231	126258	385026
1232	126361	384924
1233	126471	384847
1234	126591	384795
1235	126698	384707
1236	126782	384548
1237	126894	384475
1238	127017	384434
1239	127110	384303
1240	127210	384194
1241	127311	384087
1242	127408	383968
1243	127536	383943
1244	127629	383812
1245	127728	383698
1246	127803	383513
1247	127936	383503
1248	128043	383412
1249	128156	383343
1250	128255	383229
1251	128346	383090
1252	128480	383084
1253	128570	382942
1254	128674	382843
1255	128789	382780
1256	128922	382767
1257	129019	382649
1258	129125	382557
1259	129214	382413
1260	129307	382282
1261	129416	382200
1262	129551	382191
1263	129653	382089
1264	129753	381978
1265	129859	381885
1266	129964	381791
1267	130074	381709
1268	130211	381707
1269	130324	381634
1270	130420	381512
1271	130514	381385
1272	130616	381280
1273	130736	381228
1274	130847	381152
1275	130953	381056
1276	131034	380893
1277	131143	380807
1278	131235	380674
1279	131329	380548
1280	131442	380474
1281	131567	380437
1282	131660	380306
1283	131754	380180
1284	131865	380100
1285	131982	380040
1286	132111	380013
1287	132218	379923
1288	132328	379840
1289	132429	379733
1290	132556	379702
1291	132673	379640
1292	132791	379581
1293	132912	379530
1294	133032	379476
1295	133131	379363
1296	133244	379288
1297	133348	379191
1298	133463	379122
1299	133597	379108
1300	133709	379030
1301	133800	378896
1302	133885	378741
1303	133985	378632
1304	134082	378512
1305	134189	378421
1306	134277	378277
1307	134377	378168
1308	134487	378086
1309	134624	378078
1310	134736	378002
1311	134861	377961
1312	134948	377815
1313	135087	377813
1314	135185	377696
1315	135282	377576
1316	135369	377430
1317	135469	377320
1318	135581	377243
1319	135672	377107
1320	135757	376956
1321	135857	376844
1322	135968	376766
1323	136069	376656
1324	136179	376573
1325	136287	376485
1326	136397	376402
1327	136521	376360
1328	136630	376272
1329	136737	376183
1330	136864	376144
1331	136963	376033
1332	137067	375934
1333	137156	375791
1334	137260	375692
1335	137379	375634
1336	137484	375538
1337	137579	375412
1338	137677	375296
1339	137776	375185
1340	137860	375030
1341	137980	374975
1342	138092	374896
1343	138191	374783
1344	138282	374646
1345	138373	374512
1346	138482	374427
1347	138579	374307
1348	138704	374266
1349	138811	374174
1350	138901	374037
1351	138988	373890
1352	139087	373777
1353	139195	373689
1354	139283	373546
1355	139391	373457
1356	139484	373328
1357	139583	373215
1358	139673	373079
1359	139772	372966
1360	139875	372864
1361	139992	372798
1362	140093	372692
1363	140192	372579
1364	140301	372492
1365	140415	372419
1366	140537	372367
1367	140646	372281
1368	140736	372144
1369	140821	371994
1370	140949	371958
1371	141056	371866
1372	141159	371765
1373	141263	371665
1374	141346	371510
1375	141437	371376
1376	141548	371294
1377	141637	371155
1378	141717	370992
1379	141817	370883
1380	141906	370746
1381	141996	370609
1382	142080	370456
1383	142199	370396
1384	142286	370252
1385	142372	370107
1386	142453	369947
1387	142565	369869
1388	142671	369774
1389	142779	369685
1390	142864	369537
1391	142967	369434
1392	143085	369372
1393	143200	369300
1394	143328	369262
1395	143451	369212
1396	143562	369130
1397	143664	369027
1398	143775	368944
1399	143882	368853
1400	143983	368746
1401	144080	368628
1402	144197	368562
1403	144306	368475
1404	144398	368344
1405	144501	368242
1406	144623	368187
1407	144730	368095
1408	144836	368001
1409	144959	367950
1410	145057	367834
1411	145158	367729
1412	145266	367639
1413	145365	367525
1414	145499	367501
1415	145602	367399
1416	145716	367325
1417	145807	367193
1418	145928	367135
1419	146050	367081
1420	146174	367030
1421	146289	366957
1422	146421	366928
1423	146533	366847
1424	146623	366713
1425	146709	366567
1426	146807	366453
1427	146913	366357
1428	147018	366261
1429	147117	366148
1430	147208	366015
1431	147309	365908
1432	147393	365758
1433	147499	365663
1434	147630	365630
1435	147746	365560
1436	147852	365464
1437	147938	365319
1438	148053	365245
1439	148163	365162
1440	148284	365104
1441	148390	365008
1442	148496	364911
1443	148612	364842
1444	148710	364726
1445	148802	364596
1446	148894	364466
1447	149002	364376
1448	149116	364300
1449	149232	364230
1450	149345	364150
1451	149461	364081
1452	149549	363942
1453	149659	363854
1454	149781	363799
1455	149893	363718
1456	149982	363582
1457	150083	363473
1458	150179	363354
1459	150278	363242
1460	150392	363166
1461	150510	363100
1462	150622	363018
